HYPER_PARAM,FEATURES,K_FOLDS,OUTPUT,AVG_RMSE,AVG_RMSE_%_AREA,STD_RMSE,CV_RMSE,AVG_MAE,AVG_MAE_%_AREA,STD_MAE,CV_MAE
1,"DMC, DC",3,area,57.3455681985,4.46363147591,30.0247234397,2.33704721762,20.175043424,1.57037346885,7.3658932546,0.573342178172
1,"DMC, DC",5,area,55.2705040984,4.30211382559,27.9203045165,2.1732446634,16.727721405,1.30204279301,4.27120700703,0.332459763424
1,"DMC, DC",7,area,70.2332530566,5.46677570469,51.9419963622,4.0430313478,21.5962618419,1.68099745365,12.7230230457,0.990327376983
1,"DMC, DC",9,area,82.446772268,6.41744461418,45.1541612286,3.5146837264,22.5282945633,1.75354448252,8.75355919355,0.681354524334
1,"DMC, DC",10,area,77.8848094237,6.06235316451,46.1466946709,3.59193997571,21.6734562874,1.68700607066,8.66044754623,0.674106953287
1,"DMC, DC",11,area,49.7654128766,3.87361168973,37.313696894,2.90440215645,17.0445074602,1.32670060443,7.27159655908,0.566002366022
1,"DMC, DC",15,area,65.700679521,5.11397184318,53.0149768827,4.12654939069,20.9245461146,1.62871282979,9.75786652236,0.759527222682
1,"DMC, DC",19,area,64.0019084636,4.98174387509,68.7033647319,5.34769313396,22.1892963962,1.72715773744,18.166992404,1.41407194426
1,"DMC, DC",23,area,44.5214191128,3.46543270818,49.8390467255,3.87934315906,17.7672882909,1.38296000455,13.3414517325,1.03846427472
2,"DMC, DC",3,area,68.8155008429,5.35642152031,26.2409250122,2.0425260839,21.6887947718,1.68819997882,6.21784995542,0.483981441729
2,"DMC, DC",5,area,66.0028441247,5.13749155846,32.0382894447,2.49377801445,20.3801683426,1.58633986472,5.81287666874,0.452459363108
2,"DMC, DC",7,area,57.703982467,4.49152952035,38.8724413433,3.02573081367,19.9987723487,1.5566529819,9.1360327642,0.711125282953
2,"DMC, DC",9,area,64.8650183551,5.04892612823,36.0014181249,2.80225775362,21.0036578708,1.63487068533,9.03342400549,0.703138481191
2,"DMC, DC",10,area,61.4147818157,4.78036859361,37.8870948574,2.94903397854,19.4428703308,1.51338299919,8.28131978421,0.644596623804
2,"DMC, DC",11,area,61.6573450329,4.79924909031,43.8975563059,3.41687283251,20.5919037732,1.60282080584,11.1087722967,0.864678252221
2,"DMC, DC",15,area,58.6261388925,4.56330780376,51.2307016982,3.98766600134,21.1350940069,1.64510133597,14.0249844961,1.09166870627
2,"DMC, DC",19,area,58.7334101014,4.57165751865,53.689023148,4.17901541763,22.48216752,1.74995407216,16.1301177476,1.25552686197
2,"DMC, DC",23,area,49.1302683114,3.82417367103,52.9142554372,4.11870949253,19.4145837245,1.51118124254,14.5681303107,1.13394577895
3,"DMC, DC",3,area,66.0912518357,5.1443729872,24.5408018518,1.91019287158,21.3794161479,1.66411874277,3.9090310814,0.304268921268
3,"DMC, DC",5,area,68.4376827164,5.32701312948,26.6356518533,2.07325060556,22.1432411194,1.7235729132,4.31175777731,0.335616131044
3,"DMC, DC",7,area,62.4710632621,4.86258682353,35.6898282746,2.77800440141,21.1959838867,1.64984084755,7.60697769877,0.592107570985
3,"DMC, DC",9,area,61.6910138702,4.80186978597,34.0223065676,2.64820880233,21.1998293135,1.65014016567,7.14073601111,0.555816517678
3,"DMC, DC",10,area,61.8529957845,4.8144780414,37.3135810358,2.90439313835,21.0714363098,1.64014638463,8.0745420152,0.628501574313
3,"DMC, DC",11,area,61.9789537727,4.8242822871,40.6840394924,3.16674095227,22.4914310629,1.7506751225,10.9130802978,0.849446090548
3,"DMC, DC",15,area,58.8148529482,4.57799682029,44.8357224251,3.48989726929,22.3176638285,1.73714952809,12.1712121101,0.947375833587
3,"DMC, DC",19,area,52.7464549455,4.10564833402,50.0639561296,3.89684952837,21.6092147074,1.68200567137,15.4612691753,1.20346541008
3,"DMC, DC",23,area,49.2370125795,3.83248237019,49.1304928743,3.82419115042,20.3288189432,1.5823429596,13.8186592768,1.07560888209
4,"DMC, DC",3,area,63.0890184259,4.91068686346,25.2391337519,1.96454922985,20.4116490682,1.5887902434,3.57735503446,0.278452111191
4,"DMC, DC",5,area,65.9036503664,5.12977057154,26.074425502,2.02956619043,20.7984905243,1.61890098698,3.98486570832,0.310171693501
4,"DMC, DC",7,area,63.3833398622,4.93359608676,32.5127425702,2.53070822495,21.6345194408,1.6839753267,6.49075042211,0.505223311872
4,"DMC, DC",9,area,61.1744825447,4.76166431665,34.7561474731,2.70532909021,21.5007988612,1.67356686086,7.49001138912,0.583003214401
4,"DMC, DC",10,area,61.2361718404,4.7664660527,35.8463041576,2.79018408151,20.7960463524,1.61871073893,6.6407699912,0.516900449123
4,"DMC, DC",11,area,57.7795258591,4.49740962362,40.4152543497,3.14581940836,21.5241634196,1.67538549796,9.83663382627,0.765658266947
4,"DMC, DC",15,area,53.8515457363,4.19166575773,44.6807353515,3.47783347427,21.8870049795,1.70362815138,12.5282484315,0.975166622172
4,"DMC, DC",19,area,52.1950715273,4.06273006748,47.137859067,3.669089662,21.381023407,1.66424384769,13.9937492759,1.08923743711
4,"DMC, DC",23,area,49.715750205,3.86974607515,47.8745923085,3.72643508187,20.5494385802,1.59951542448,12.928727156,1.00633885564
5,"DMC, DC",3,area,59.380678966,4.62203926162,28.3912145597,2.20989908948,19.2559159597,1.49883095199,3.51967127205,0.273962155548
5,"DMC, DC",5,area,63.3051522721,4.92751016593,27.1154690647,2.11059834271,21.0162162781,1.63584819944,4.0955007131,0.318783237604
5,"DMC, DC",7,area,60.3893530017,4.7005518532,33.0593596787,2.57325549421,20.9375403268,1.62972426583,5.49277917418,0.427543797756
5,"DMC, DC",9,area,57.0231126789,4.43853236796,35.557924962,2.76773738694,20.3225521512,1.58185516863,7.09840743624,0.552521770323
5,"DMC, DC",10,area,57.0590576516,4.44133023214,37.3852117597,2.90996868959,19.9436969757,1.55236605658,6.80853216955,0.529958625426
