id,timestamp,periodOfDay,neighborhood,start_latitude,start_longitude,finish_latitude,finish_longitude,currency_code,distance,duration,high_estimate,low_estimate,product_id
1,2017-10-29 13:39:29.122787,afternoon,Pitimbu,-5.8323,-35.2054,-5.876271,-35.2245,BRL,4.44,660,16.0,12.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 13:39:29.122787,afternoon,Pitimbu,-5.8323,-35.2054,-5.876271,-35.2245,BRL,4.44,660,19.0,14.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 13:39:30.552931,afternoon,Planalto,-5.8323,-35.2054,-5.858102,-35.251586,BRL,6.5,1020,22.0,17.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 13:39:30.552931,afternoon,Planalto,-5.8323,-35.2054,-5.858102,-35.251586,BRL,6.5,1020,26.0,20.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 13:39:31.783796,afternoon,Ponta Negra,-5.8323,-35.2054,-5.877522,-35.176073,BRL,4.72,660,17.0,13.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 13:39:31.783796,afternoon,Ponta Negra,-5.8323,-35.2054,-5.877522,-35.176073,BRL,4.72,660,20.0,15.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 13:39:33.112852,afternoon,Neópolis,-5.8323,-35.2054,-5.870513,-35.208176,BRL,4.14,660,15.0,11.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 13:39:33.112852,afternoon,Neópolis,-5.8323,-35.2054,-5.870513,-35.208176,BRL,4.14,660,18.0,14.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 13:39:34.648221,afternoon,Capim Macio,-5.8323,-35.2054,-5.862753,-35.195597,BRL,3.17,540,13.0,9.0,65cb1829-9761-40f8-acc6-92d700fe2924
1,2017-10-29 13:39:34.648221,afternoon,Capim Macio,-5.8323,-35.2054,-5.862753,-35.195597,BRL,3.17,540,15.0,11.0,bf8f99ca-f5f2-40d4-8ffc-52f1e2b17138
1,2017-10-29 13:43:00.377291,afternoon,Pitimbu,-5.8323,-35.2054,-5.876271,-35.2245,BRL,4.44,660,16.0,12.0,65cb1829-9761-40f8-acc6-92d700fe2924
